# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Age            Xc             
     0.71011239     0.63236880    -0.87022120     4.68719435  4401.42724609     0.12960517     0.63236880  4401.42724609     4.68719435     0.00100000     0.70713025
     0.71079630     0.63298112    -0.86842096     4.68676949  4403.83935547     0.12960839     0.63298112  4403.83935547     4.68676949     0.00100000     0.70713073
     0.71148026     0.63358980    -0.86662674     4.68634939  4406.23828125     0.12961058     0.63358980  4406.23828125     4.68634939     0.00100000     0.70713121
     0.71216416     0.63419497    -0.86484575     4.68593597  4408.64843750     0.12961052     0.63419497  4408.64843750     4.68593597     0.00100000     0.70713311
     0.71284807     0.63479978    -0.86306965     4.68552637  4411.07177734     0.12961000     0.63479978  4411.07177734     4.68552637     0.00100000     0.70713508
     0.71353203     0.63540471    -0.86129409     4.68512011  4413.51562500     0.12961055     0.63540471  4413.51562500     4.68512011     0.00100000     0.70713466
     0.71421593     0.63600934    -0.85951048     4.68471241  4415.97802734     0.12961140     0.63600934  4415.97802734     4.68471241     0.00100000     0.70713329
     0.71489990     0.63661498    -0.85770959     4.68429995  4418.44921875     0.12961191     0.63661498  4418.44921875     4.68429995     0.00100000     0.70713288
     0.71558380     0.63721782    -0.85590255     4.68388939  4420.92187500     0.12961279     0.63721782  4420.92187500     4.68388939     0.00100000     0.70713460
     0.71626770     0.63781518    -0.85410208     4.68348598  4423.40039062     0.12961483     0.63781518  4423.40039062     4.68348598     0.00100000     0.70713824
     0.71695167     0.63841289    -0.85229534     4.68308401  4425.91455078     0.12961769     0.63841289  4425.91455078     4.68308401     0.00100000     0.70714247
     0.71763557     0.63902330    -0.85045087     4.68266869  4428.54638672     0.12962002     0.63902330  4428.54638672     4.68266869     0.00100000     0.70714492
     0.71831954     0.63963449    -0.84859616     4.68225384  4431.18505859     0.12962064     0.63963449  4431.18505859     4.68225384     0.00100000     0.70714557
     0.71900344     0.64023298    -0.84677094     4.68185377  4433.72802734     0.12962003     0.64023298  4433.72802734     4.68185377     0.00100000     0.70714623
     0.71968734     0.64082521    -0.84495819     4.68146038  4436.26513672     0.12961887     0.64082521  4436.26513672     4.68146038     0.00100000     0.70714593
     0.72037131     0.64141619    -0.84314853     4.68106794  4438.82031250     0.12961799     0.64141619  4438.82031250     4.68106794     0.00100000     0.70714432
     0.72105521     0.64200968    -0.84134531     4.68067694  4441.38964844     0.12961926     0.64200968  4441.38964844     4.68067694     0.00100000     0.70714331
     0.72173917     0.64260519    -0.83955145     4.68028688  4443.94824219     0.12962252     0.64260519  4443.94824219     4.68028688     0.00100000     0.70714432
     0.72242308     0.64319801    -0.83776706     4.67990065  4446.49804688     0.12962532     0.64319801  4446.49804688     4.67990065     0.00100000     0.70714563
     0.72310698     0.64378637    -0.83598924     4.67951918  4449.02783203     0.12962623     0.64378637  4449.02783203     4.67951918     0.00100000     0.70714641
     0.72379094     0.64437401    -0.83420694     4.67913675  4451.56152344     0.12962569     0.64437401  4451.56152344     4.67913675     0.00100000     0.70714676
     0.72447485     0.64496475    -0.83241141     4.67875147  4454.11572266     0.12962462     0.64496475  4454.11572266     4.67875147     0.00100000     0.70714760
     0.72515881     0.64555997    -0.83059984     4.67836094  4456.68652344     0.12962361     0.64555997  4456.68652344     4.67836094     0.00100000     0.70714915
     0.72584271     0.64615893    -0.82877636     4.67796373  4459.28564453     0.12962301     0.64615893  4459.28564453     4.67796373     0.00100000     0.70715141
     0.72652662     0.64675939    -0.82694846     4.67756462  4461.90087891     0.12962280     0.64675939  4461.90087891     4.67756462     0.00100000     0.70715380
     0.72721058     0.64735991    -0.82512087     4.67716789  4464.52246094     0.12962307     0.64735991  4464.52246094     4.67716789     0.00100000     0.70715594
     0.72789448     0.64795953    -0.82329679     4.67677116  4467.15087891     0.12962373     0.64795953  4467.15087891     4.67677116     0.00100000     0.70715803
     0.72857845     0.64855719    -0.82147872     4.67637777  4469.76806641     0.12962466     0.64855719  4469.76806641     4.67637777     0.00100000     0.70715970
     0.72926235     0.64915276    -0.81966770     4.67598820  4472.39453125     0.12962569     0.64915276  4472.39453125     4.67598820     0.00100000     0.70716125
     0.72994626     0.64974660    -0.81786191     4.67560148  4475.02001953     0.12962669     0.64974660  4475.02001953     4.67560148     0.00100000     0.70716268
     0.73063022     0.65033895    -0.81605935     4.67521620  4477.63720703     0.12962750     0.65033895  4477.63720703     4.67521620     0.00100000     0.70716399
     0.73131412     0.65093023    -0.81425834     4.67483234  4480.25341797     0.12962808     0.65093023  4480.25341797     4.67483234     0.00100000     0.70716542
