# Age =     0.037774
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.66497314     0.58973449    -0.98492432     4.71927023  4266.47802734     0.12937644     0.58973449  4266.47802734     4.71927023     0.70635980
     0.66565710     0.59042996    -0.98315966     4.71869040  4268.27001953     0.12937544     0.59042996  4268.27001953     4.71869040     0.70635706
     0.66634101     0.59112477    -0.98139995     4.71811199  4270.06054688     0.12937456     0.59112477  4270.06054688     4.71811199     0.70635396
     0.66702497     0.59181970    -0.97964299     4.71753502  4271.86132812     0.12937395     0.59181970  4271.86132812     4.71753502     0.70635146
     0.66770887     0.59251505    -0.97788709     4.71695948  4273.66992188     0.12937352     0.59251505  4273.66992188     4.71695948     0.70634925
     0.66839278     0.59321141    -0.97612995     4.71638346  4275.48632812     0.12937307     0.59321141  4275.48632812     4.71638346     0.70634717
     0.66907674     0.59390879    -0.97437036     4.71580744  4277.30322266     0.12937257     0.59390879  4277.30322266     4.71580744     0.70634472
     0.66976064     0.59460729    -0.97260720     4.71523046  4279.13281250     0.12937185     0.59460729  4279.13281250     4.71523046     0.70634246
     0.67044461     0.59530723    -0.97083956     4.71465206  4280.97265625     0.12937108     0.59530723  4280.97265625     4.71465206     0.70633996
     0.67112851     0.59600860    -0.96906751     4.71407223  4282.82470703     0.12937030     0.59600860  4282.82470703     4.71407223     0.70633793
     0.67181242     0.59671187    -0.96729058     4.71349144  4284.69677734     0.12936963     0.59671187  4284.69677734     4.71349144     0.70633644
     0.67249638     0.59741670    -0.96550882     4.71291018  4286.57421875     0.12936923     0.59741670  4286.57421875     4.71291018     0.70633543
     0.67318028     0.59812301    -0.96372324     4.71232891  4288.46435547     0.12936898     0.59812301  4288.46435547     4.71232891     0.70633543
     0.67386425     0.59882998    -0.96193403     4.71174765  4290.36474609     0.12936886     0.59882998  4290.36474609     4.71174765     0.70633501
     0.67454815     0.59953594    -0.96014202     4.71116686  4292.26611328     0.12936850     0.59953594  4292.26611328     4.71116686     0.70633274
     0.67523205     0.60024071    -0.95834857     4.71058941  4294.15625000     0.12936802     0.60024071  4294.15625000     4.71058941     0.70632815
     0.67591602     0.60094428    -0.95655477     4.71001339  4296.05419922     0.12936774     0.60094428  4296.05419922     4.71001339     0.70632321
